market_id,market_ticker,series_ticker,end_period_ts,date_utc,price_open,price_low,price_high,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1726200000,2024-09-13 00:00:00+00:00,,,,,,0.33,0.24,0.33,0.0,24124.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1726286400,2024-09-14 00:00:00+00:00,0.24,0.24,0.24,0.24,0.24,0.33,0.3,0.31,20.0,24104.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1726459200,2024-09-16 00:00:00+00:00,0.3,0.21,0.4,0.28,0.34,0.24,0.28,0.33,791.0,24846.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1726545600,2024-09-17 00:00:00+00:00,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,35.0,24856.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1726632000,2024-09-18 00:00:00+00:00,0.29,0.29,0.35,0.35,0.3098,0.28,0.29,0.41,890.0,25006.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1726718400,2024-09-19 00:00:00+00:00,0.29,0.28,0.29,0.28,0.285,0.35,0.28,0.37,100.0,25056.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1726804800,2024-09-20 00:00:00+00:00,0.37,0.33,0.39,0.33,0.3778,0.28,0.28,0.4,1672.0,25056.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1726891200,2024-09-21 00:00:00+00:00,0.28,0.28,0.4,0.4,0.37,0.33,0.28,0.39,80.0,25096.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1726977600,2024-09-22 00:00:00+00:00,0.38,0.37,0.38,0.37,0.375,0.4,0.33,0.37,100.0,25146.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1727064000,2024-09-23 00:00:00+00:00,0.34,0.34,0.36,0.36,0.3559,0.37,0.34,0.37,126.0,25046.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1727150400,2024-09-24 00:00:00+00:00,0.34,0.34,0.37,0.37,0.3585,0.36,0.34,0.37,75.0,25101.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1727236800,2024-09-25 00:00:00+00:00,0.34,0.34,0.41,0.41,0.3957,0.37,0.39,0.45,538.0,25639.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1727323200,2024-09-26 00:00:00+00:00,0.4,0.37,0.43,0.43,0.3928,0.41,0.34,0.45,859.0,26213.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1727409600,2024-09-27 00:00:00+00:00,0.39,0.39,0.41,0.41,0.4077,0.43,0.36,0.41,646.0,26848.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1727496000,2024-09-28 00:00:00+00:00,0.41,0.39,0.41,0.41,0.4,0.41,0.38,0.43,1568.0,27371.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1727582400,2024-09-29 00:00:00+00:00,0.39,0.34,0.41,0.34,0.3809,0.41,0.34,0.38,563.0,27434.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1727668800,2024-09-30 00:00:00+00:00,,,,,,0.34,0.35,0.38,0.0,27434.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1727755200,2024-10-01 00:00:00+00:00,0.35,0.27,0.35,0.31,0.2937,0.34,0.27,0.31,499.0,27584.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1727841600,2024-10-02 00:00:00+00:00,0.26,0.2,0.26,0.2,0.2486,0.31,0.2,0.24,249.0,27833.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1727928000,2024-10-03 00:00:00+00:00,0.2,0.2,0.31,0.31,0.2566,0.2,0.22,0.26,786.0,28349.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728014400,2024-10-04 00:00:00+00:00,0.22,0.22,0.26,0.26,0.2595,0.31,0.22,0.35,83.0,28408.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728100800,2024-10-05 00:00:00+00:00,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,65.0,28408.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728187200,2024-10-06 00:00:00+00:00,0.26,0.25,0.26,0.25,0.2591,0.26,0.25,0.35,11.0,28409.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728273600,2024-10-07 00:00:00+00:00,0.25,0.2,0.28,0.28,0.2271,0.25,0.28,0.3,249.0,28594.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728360000,2024-10-08 00:00:00+00:00,0.31,0.27,0.32,0.27,0.2904,0.28,0.25,0.27,1320.0,29282.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728446400,2024-10-09 00:00:00+00:00,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.27,144.0,29282.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728532800,2024-10-10 00:00:00+00:00,0.25,0.22,0.25,0.22,0.235,0.25,0.22,0.25,12.0,29288.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728619200,2024-10-11 00:00:00+00:00,0.22,0.15,0.22,0.2,0.1776,0.22,0.19,0.21,1736.0,30874.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728705600,2024-10-12 00:00:00+00:00,0.21,0.21,0.28,0.27,0.2659,0.2,0.2,0.27,1176.0,31007.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728792000,2024-10-13 00:00:00+00:00,0.25,0.25,0.28,0.27,0.2684,0.27,0.22,0.28,456.0,31438.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728878400,2024-10-14 00:00:00+00:00,0.22,0.21,0.27,0.26,0.2566,0.27,0.24,0.26,289.0,31666.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1728964800,2024-10-15 00:00:00+00:00,0.26,0.26,0.37,0.37,0.331,0.26,0.34,0.35,936.0,32009.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1729051200,2024-10-16 00:00:00+00:00,0.34,0.2,0.41,0.41,0.3501,0.37,0.37,0.41,1023.0,32443.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1729137600,2024-10-17 00:00:00+00:00,0.42,0.37,0.47,0.38,0.4237,0.41,0.37,0.44,2658.0,34277.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1729224000,2024-10-18 00:00:00+00:00,0.36,0.3,0.39,0.38,0.3483,0.38,0.36,0.38,707.0,34664.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1729310400,2024-10-19 00:00:00+00:00,0.38,0.38,0.48,0.42,0.4438,0.38,0.41,0.46,3461.0,36018.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1729396800,2024-10-20 00:00:00+00:00,0.4,0.39,0.47,0.39,0.4257,0.42,0.39,0.46,2873.0,36967.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1729483200,2024-10-21 00:00:00+00:00,0.41,0.41,0.48,0.46,0.4677,0.39,0.43,0.47,669.0,37115.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1729569600,2024-10-22 00:00:00+00:00,0.47,0.39,0.49,0.39,0.4197,0.46,0.39,0.41,1867.0,37561.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1729656000,2024-10-23 00:00:00+00:00,0.41,0.31,0.45,0.41,0.3959,0.39,0.39,0.43,1380.0,37953.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1729742400,2024-10-24 00:00:00+00:00,0.38,0.34,0.44,0.44,0.3772,0.41,0.36,0.41,1778.0,38178.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1729828800,2024-10-25 00:00:00+00:00,0.41,0.35,0.43,0.4,0.3954,0.44,0.4,0.43,736.0,38680.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1729915200,2024-10-26 00:00:00+00:00,0.43,0.4,0.46,0.44,0.4263,0.4,0.39,0.41,3536.0,40897.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1730001600,2024-10-27 00:00:00+00:00,0.41,0.4,0.44,0.4,0.43,0.44,0.4,0.44,387.0,41199.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1730088000,2024-10-28 00:00:00+00:00,0.4,0.4,0.43,0.43,0.4185,0.4,0.41,0.43,162.0,41137.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1730174400,2024-10-29 00:00:00+00:00,0.41,0.39,0.62,0.62,0.4783,0.43,0.54,0.62,4146.0,43935.0
